,City,Country,Date,Latitude,Longitude,Temperature,Max. Temp.,Humidity,Cloudiness,Wind Speed
319,Barranca,PE,1600109046,-10.75,-77.77,18.6,18.6,71,15,4.78
320,Lebu,CL,1600109046,-37.62,-73.65,11.64,11.64,67,0,11.16
321,Mayya,RU,1600109046,61.73,130.28,7.0,7.0,75,0,5.0
322,Kenai,US,1600109047,60.55,-151.26,10.7,13.33,87,1,0.98
323,Taltal,CL,1600109047,-25.4,-70.48,16.84,16.84,60,22,2.21
324,Lewistown,US,1600109047,40.6,-77.57,21.75,22.22,49,20,5.1
325,Eyl,SO,1600109047,7.98,49.82,25.67,25.67,79,0,9.28
326,Awallan,PH,1600109048,17.92,121.91,24.48,24.48,88,70,1.14
327,Havøysund,NO,1600109048,71.0,24.66,8.0,8.0,93,75,6.2
328,Wajir,KE,1600109048,1.75,40.06,29.0,29.0,58,5,2.1
329,Mapiripán,CO,1600109049,2.89,-72.13,32.98,32.98,49,74,0.54
330,Marsh Harbour,BS,1600109049,26.54,-77.06,29.0,29.0,67,30,2.83
331,Caohai,CN,1600109049,26.87,104.28,14.2,14.2,98,100,0.81
